0,1,2,3,4,5,6,7,8
670475.795848,464.058183667,723678.884126,481.674045257,51338.485318,145.937564968,2222241.29769,838.042821836,ABxo2b.0002.fits
674004.472108,465.226855338,728247.667454,483.137273936,52533.9887077,147.274033689,2256225.55618,844.357867227,ABxo2b.0010.fits
702817.704526,474.822598595,759380.909708,493.119863158,63995.5108711,158.92122748,2683310.87433,920.17879625,ABxo2b.0018.fits
713549.576141,478.217005648,774078.707599,497.642874979,67156.1231595,161.51146991,2651396.0941,914.706520262,ABxo2b.0030.fits
717831.925476,479.606032795,775727.568087,498.152731614,64028.5346056,158.476640679,2558946.43577,898.693346501,ABxo2b.0042.fits
724919.023448,481.872450053,784621.857954,500.895587415,72887.2469888,166.987516487,2716400.51915,925.704447286,ABxo2b.0056.fits
714261.42872,478.268461295,776723.979465,498.292421305,59411.6824113,153.31729115,2512552.98879,890.477283968,ABxo2b.0066.fits
671635.305664,464.049462515,734796.414231,484.890227136,54765.4865669,148.284422067,2361442.46512,863.492701446,ABxo2b.0078.fits
720015.492403,479.991383967,788518.283667,501.842080299,62837.5533979,156.269790842,2606402.28545,906.771508016,ABxo2b.0092.fits
727575.939406,482.325730496,799769.817088,505.207760792,64838.4065029,157.83070737,2647741.39871,913.894201202,ABxo2b.0116.fits
730210.841847,483.266174556,800083.361649,505.401961406,79258.3398282,171.907378187,2932129.52916,961.410021392,ABxo2b.0136.fits
752338.401629,490.266293774,822954.547635,512.324447004,76699.2918517,169.111693969,2961289.38654,966.133719163,ABxo2b.0154.fits
751955.788228,490.050161094,822868.958374,512.211534447,81524.414056,173.286424137,3055905.24946,981.280434889,ABxo2b.0170.fits
739119.272975,485.902290697,799740.063866,505.0359628,81541.2050623,173.182634568,2920566.04341,959.441991759,ABxo2b.0182.fits
775671.934091,497.530104449,839727.240526,517.287102295,89536.3229436,180.238533963,3007716.29576,973.538405034,ABxo2b.0194.fits
777458.351961,498.115451026,839933.732026,517.373440779,90392.588079,181.064543612,2960720.53895,965.961154258,ABxo2b.0202.fits
768957.729388,495.407588089,832693.256843,515.151626512,87706.1458734,178.586132654,3089275.13788,986.618388186,ABxo2b.0212.fits
770363.228955,495.812373731,834313.327576,515.610824821,92337.0224397,182.610701154,3083249.35161,985.637720133,ABxo2b.0228.fits
757932.653774,491.892241913,819956.440839,511.245072992,88259.0804702,179.11213445,3132110.66303,993.35722761,ABxo2b.0242.fits
765390.137824,494.248431506,827899.999356,513.664301205,89833.8241994,180.454659941,3123699.75872,992.032566308,ABxo2b.0254.fits
767133.829447,494.742258329,830136.630542,514.284997392,93101.8844875,183.044040361,3097842.05269,987.940355635,ABxo2b.0262.fits
