0,1,2,3,4,5,6,7,8
540840.261828,414.125727841,584147.187694,430.196527884,13890.9078573,79.5320708225,919557.251577,538.903283197,ABxo2b.0002.fits
543325.180063,415.055866859,586656.649023,431.100846904,14716.7795178,81.1832300625,935248.049861,543.437749639,ABxo2b.0010.fits
625294.007345,444.929762887,675761.036144,462.358173761,15021.9947437,81.7089788009,1238112.45784,624.684634112,ABxo2b.0018.fits
640283.049677,450.124667473,694850.957752,468.733913179,17121.1265874,85.2839750481,1131312.1292,597.274992425,ABxo2b.0030.fits
627214.545373,445.545741616,676462.1647,462.540313855,17147.2078109,85.3530003076,1069781.98318,580.884943868,ABxo2b.0042.fits
634233.216798,447.990125852,685511.465741,465.577298405,21678.3393004,93.2898074927,1296521.06801,639.12066967,ABxo2b.0056.fits
592495.778672,433.08893761,644352.438049,451.455634761,16669.6045989,84.1087395772,1120996.34514,594.493641009,ABxo2b.0066.fits
486669.620513,392.909539532,532539.796256,410.790162167,18105.981244,86.6096554209,1127583.45559,596.240510027,ABxo2b.0078.fits
595351.043092,434.054371223,651789.104155,453.968833521,18263.474663,86.6794943615,1232645.72911,623.194440242,ABxo2b.0092.fits
601621.837127,436.259282971,660917.543456,457.052607882,19399.4883569,88.4170827961,1276529.48217,634.138379209,ABxo2b.0116.fits
586983.885291,431.004171028,641933.774833,450.536659951,31917.2816496,108.5712985,1956474.01812,784.387556221,ABxo2b.0136.fits
653843.380868,454.618132228,715451.824434,475.376216723,23975.4095898,96.1292909956,1742033.4026,740.288799478,ABxo2b.0154.fits
618987.302007,442.398144875,676836.78736,462.432557643,30037.865632,105.403112671,2181181.3091,828.027488409,ABxo2b.0170.fits
571998.970084,425.413987227,617952.853077,442.002663069,37242.6998873,115.55373403,1950362.99642,783.12789239,ABxo2b.0182.fits
692264.297937,467.620553637,748298.694303,486.027957488,33456.3472904,110.277007289,2329402.60419,855.618667301,ABxo2b.0194.fits
702346.171371,470.996942017,756894.89005,488.801879739,34836.4310099,112.272416344,2267524.80656,844.215372408,ABxo2b.0202.fits
656967.82262,455.634926975,711413.351225,473.983601826,37522.8554144,115.881292469,2323746.73559,854.59788292,ABxo2b.0212.fits
639453.607183,449.552982227,688915.037289,466.470412116,50221.0861264,131.946614616,2537560.35007,892.94269265,ABxo2b.0228.fits
580369.354316,428.468837984,625965.187358,444.823282503,44965.0092735,125.56686155,2528832.1633,891.400744001,ABxo2b.0242.fits
622917.192531,443.75463819,670880.610553,460.373644132,46192.8471625,127.074492941,2471834.34885,881.322934538,ABxo2b.0254.fits
608036.17724,438.441715819,652183.032247,453.9367535,54365.4417814,136.668241237,2674218.29777,916.610444318,ABxo2b.0262.fits
