0,1,2,3,4,5,6,7,8
680582.565892,468.341895541,734682.174351,486.088637902,59461.4734093,157.084678852,2394174.91404,870.127678895,ABxo2b.0002.fits
684464.084644,469.614334244,739592.177876,487.644966921,60614.023316,158.293192583,2428129.92503,876.203619224,ABxo2b.0010.fits
708234.521459,477.467623117,765216.320493,495.796234315,72582.4948352,169.639835938,2781354.71204,937.204811759,ABxo2b.0018.fits
718890.530992,480.797244376,779795.338334,500.237756652,75060.4372942,171.371221212,2770036.67889,935.287492137,ABxo2b.0030.fits
724499.302847,482.607803061,782979.026338,501.223664841,72216.7148228,168.782128099,2704315.8197,924.172165752,ABxo2b.0042.fits
731746.375327,484.904852762,792101.310715,504.013069717,79501.8667959,175.393577725,2825090.38526,944.384551918,ABxo2b.0056.fits
723732.417723,482.163963039,786946.112885,502.262840389,67626.6157797,163.894419308,2668413.09428,917.963985348,ABxo2b.0066.fits
689616.970877,470.898475237,754468.539325,491.983957352,62197.0064569,158.392250093,2527008.79902,893.519335632,ABxo2b.0078.fits
729922.053061,483.988908549,799417.387754,505.971160395,71014.2201634,166.547082547,2751314.32386,931.927629315,ABxo2b.0092.fits
737349.122717,486.240735927,810486.339759,509.231791891,72714.7933314,167.666975406,2791505.10065,938.66850375,ABxo2b.0116.fits
741010.343403,487.517128435,811905.934276,509.779914992,84393.6866727,178.644399677,3003437.3978,973.38833611,ABxo2b.0136.fits
759159.290586,493.174512924,830315.572172,515.269135337,83268.416311,177.160283252,3041002.42931,979.397307999,ABxo2b.0154.fits
760595.258428,493.522698441,832397.797815,515.802259059,86840.0624045,180.024866063,3110411.78294,990.347559129,ABxo2b.0170.fits
752217.422471,490.826245857,813938.230507,510.106492101,86167.9532181,179.305704295,2998515.39291,972.502812907,ABxo2b.0182.fits
780505.99374,499.751130995,844960.817026,519.539523903,92902.3186215,185.059318157,3036898.22688,978.626983751,ABxo2b.0194.fits
781887.392682,500.210587853,844809.002818,519.521139231,93346.8101415,185.529082066,2990404.48714,971.173422771,ABxo2b.0202.fits
775572.988138,498.198368448,839888.479396,518.00729737,91414.2386175,183.734140693,3130581.18438,993.560104172,ABxo2b.0212.fits
777210.518063,498.667554809,841903.229489,518.577926624,94548.3081771,186.394617367,3111079.96551,990.452451707,ABxo2b.0228.fits
768305.65327,495.889720452,831299.398127,515.382801844,91688.5198617,184.014696429,3166663.91109,999.186647648,ABxo2b.0242.fits
773451.158631,497.49673697,836771.059846,517.03215432,92723.1913884,184.859383388,3159868.93212,998.124066143,ABxo2b.0254.fits
774660.938944,497.810001834,838642.336624,517.528521139,95112.3616814,186.615986644,3120723.0913,991.959737339,ABxo2b.0262.fits
