0,1,2,3,4,5,6,7,8
486013.715885,392.242626019,525272.923381,407.622314616,9608.16884522,67.2375336275,673057.367827,461.128135631,ABxo2b.0002.fits
488105.39774,393.070043407,527275.959173,408.38450678,10262.1417251,68.7811621161,685889.533997,465.460455325,ABxo2b.0010.fits
584101.653048,429.64350346,631587.417424,446.624444131,9857.27884959,67.7956618618,881423.645528,527.183270756,ABxo2b.0018.fits
602930.691588,436.415518577,654461.939574,454.54087361,11252.3344443,70.6174680751,791642.568661,499.767084693,ABxo2b.0030.fits
583474.645975,429.366965727,628915.748029,445.641757559,11525.0266423,71.239567572,760998.988854,490.045329879,ABxo2b.0042.fits
591396.544577,432.234947866,638442.088117,448.964412766,14493.5624022,77.4835447046,926739.795731,540.442125586,ABxo2b.0056.fits
539237.951348,412.84586946,586562.757707,430.429486765,11358.3878783,70.5409677836,826008.789889,510.370728335,ABxo2b.0066.fits
422928.844199,366.019984577,463006.169839,382.788956901,13016.7288961,74.0136589199,867891.46592,523.086257235,ABxo2b.0078.fits
541765.274611,413.750702143,593153.779246,432.773639789,12566.4817049,72.8583979669,924213.103436,539.651867977,ABxo2b.0092.fits
546895.037682,415.646352933,600957.100643,435.544761319,13213.0611756,73.9683741934,958326.582127,549.473125441,ABxo2b.0116.fits
524809.432451,407.26200968,573308.681127,425.512082889,22497.1038135,91.7440462689,1597164.13675,708.640043575,ABxo2b.0136.fits
604869.938583,436.949011388,661722.644098,456.881178776,15712.0551668,79.032555346,1330829.78073,647.047086278,ABxo2b.0154.fits
554585.312553,418.490789632,606305.13678,437.427009809,20316.9994695,87.5534102767,1809375.63103,754.080166852,ABxo2b.0170.fits
503976.790733,399.077403049,543488.46422,414.290224323,27270.7045916,99.1634888076,1606885.1862,710.755227895,ABxo2b.0182.fits
641732.738011,449.9330129,693143.501928,467.490299993,21053.373934,88.7738594965,1925890.91986,777.916432079,ABxo2b.0194.fits
654795.290036,454.468048216,703970.808296,471.114105387,21534.5803228,89.6683949564,1860197.06992,764.572298752,ABxo2b.0202.fits
594950.450918,433.328513566,643679.704649,450.601098091,25536.2819953,96.3353302334,1947176.60389,782.206790334,ABxo2b.0212.fits
564148.579622,422.026525333,605304.645054,437.037258324,35883.3998536,111.913910444,2221330.41176,835.329876898,ABxo2b.0228.fits
500024.062991,397.50701985,538814.351947,412.508498828,33726.7334654,108.868365847,2219836.25587,835.04247145,ABxo2b.0242.fits
548431.093328,416.151952311,589132.427215,431.200597281,33317.6593911,108.263689629,2140096.75995,819.939703308,ABxo2b.0254.fits
518089.531339,404.541740777,552489.197884,417.646569805,39758.3258601,117.114426318,2421567.75,872.088054889,ABxo2b.0262.fits
