0,1,2,3,4,5,6,7,8
639181.121502,451.742766962,689776.138761,468.95521588,34079.7021462,120.039112105,1757518.50491,744.996032406,ABxo2b.0002.fits
642251.979318,452.790991082,693578.551173,470.208773905,35258.314179,121.618668966,1787478.58765,751.259136986,ABxo2b.0010.fits
686047.492107,467.696726592,741104.429398,485.782529035,42017.5091809,129.965153066,2303803.04607,852.162167143,ABxo2b.0018.fits
697164.925269,471.30957033,756294.07327,490.566863603,45985.4952257,134.237017752,2219573.04537,836.510581572,ABxo2b.0030.fits
697209.192287,471.315224411,753087.83477,489.53470797,43836.1260673,131.729008678,2088619.03364,811.577225135,ABxo2b.0042.fits
703780.90115,473.463530387,761635.538535,492.229106955,53363.831429,142.598459783,2336942.99789,858.163772137,ABxo2b.0056.fits
685089.803006,467.14332608,745013.815933,486.815348707,40773.4674298,127.58093041,2056219.25013,805.225954005,ABxo2b.0066.fits
620422.241384,444.887480537,678795.115322,464.980719984,38839.5744982,125.006490555,1930167.89056,780.322304595,ABxo2b.0078.fits
689780.546003,468.597823242,755189.987705,489.973315375,43649.8389515,130.629501583,2170699.83227,827.151395191,ABxo2b.0092.fits
697374.310883,471.037042903,766510.034776,493.481321748,45850.722862,132.875662135,2218232.88425,836.114008481,ABxo2b.0116.fits
696276.280506,470.734003777,762731.620565,492.351101065,63759.8760635,152.830124011,2697296.21398,921.537972316,ABxo2b.0136.fits
730721.080867,481.97630113,799500.086247,503.831968678,57476.2574289,145.873250298,2674666.99922,917.667021058,ABxo2b.0154.fits
723280.363995,479.481784701,791340.557728,501.223691752,64702.0756092,153.246932462,2865913.02023,949.70919249,ABxo2b.0170.fits
698439.524308,471.27314211,755436.975173,489.831670465,67628.5610224,156.116646324,2673975.93581,917.502337002,ABxo2b.0182.fits
759709.747505,491.211415178,822067.976115,510.70051905,75494.19163,163.796091289,2896815.42217,954.785210423,ABxo2b.0194.fits
763081.792631,492.302832054,823970.079352,511.301232643,77345.5205265,165.623295062,2848333.50713,946.806532077,ABxo2b.0202.fits
746860.313921,487.09200516,808709.149298,506.584123143,74184.7806953,162.495858931,2939381.73032,961.774354527,ABxo2b.0212.fits
746317.996634,486.888480605,807741.966941,506.260390786,83469.3323048,171.221728057,2984191.12666,969.03271701,ABxo2b.0228.fits
721085.92526,478.715354093,779428.391599,497.429792948,76410.2607716,164.660695965,3011865.34809,973.483906258,ABxo2b.0242.fits
737313.07907,483.988848082,797042.714079,502.941937158,79129.7661405,167.206284064,2995371.77721,970.827099985,ABxo2b.0254.fits
739415.188435,484.626045733,799129.42524,503.546882019,85164.680686,172.597942292,3019057.14253,974.644870035,ABxo2b.0262.fits
