0,1,2,3,4,5,6,7,8
657095.73468,458.683902704,709089.223273,476.10325566,42594.4148288,133.367305522,2008645.84535,796.565453579,ABxo2b.0002.fits
660325.668333,459.767585473,713382.405238,477.49625394,43864.537674,134.905767015,2041605.5001,803.009386127,ABxo2b.0010.fits
695701.53923,471.662753788,751651.761308,489.885071632,53460.8852081,145.551208537,2530641.93155,893.334848311,ABxo2b.0018.fits
706546.459436,475.137092454,766509.861641,494.507317136,57216.3676328,149.081655044,2472789.17072,883.108439395,ABxo2b.0030.fits
709066.739963,475.957058234,766110.224674,494.37275269,54261.4114775,145.969193934,2355499.67758,862.011551233,ABxo2b.0042.fits
715818.496696,478.137459307,774803.472155,497.080238994,64048.9062998,156.106506596,2558781.78084,898.176395621,ABxo2b.0056.fits
701762.084169,473.399679327,763108.667006,493.27064478,50251.2567271,141.111285751,2309439.43331,853.517182881,ABxo2b.0066.fits
648967.987138,455.550626772,710011.434931,476.069943376,46855.0495468,137.096229448,2161903.24131,826.000009208,ABxo2b.0078.fits
707055.629765,475.012081777,774143.971911,496.638595668,53471.6294838,144.172326891,2414186.45335,872.474946016,ABxo2b.0092.fits
714600.236575,477.384754285,785537.45148,500.10413945,55697.0752945,146.173188926,2458155.44318,880.342936228,ABxo2b.0116.fits
715789.985392,477.848449944,784214.374949,499.7728832,72406.325813,163.425866791,2833649.60849,944.815632622,ABxo2b.0136.fits
743194.565698,486.647973871,813073.942457,508.63913481,68025.8440267,158.763977594,2844416.95149,946.58404583,ABxo2b.0154.fits
740059.087785,485.556364833,809768.192687,507.544850082,74205.3514186,164.536621277,2978004.42295,968.379668692,ABxo2b.0170.fits
721732.222159,479.582422199,780731.561017,498.455288043,75361.3416169,165.527930487,2815344.51074,941.70372276,ABxo2b.0182.fits
769121.662757,494.808093176,832459.317028,514.455357246,84092.4119864,173.567876425,2964312.96169,966.148715112,ABxo2b.0194.fits
771446.705515,495.563665587,833337.549957,514.743249292,85430.6855779,174.845504155,2916691.79856,958.407995477,ABxo2b.0202.fits
759809.837544,491.847147691,822787.358795,511.500310514,82125.5638902,171.734853328,3028989.24396,976.616213675,ABxo2b.0212.fits
760608.199996,492.067395272,823600.435856,511.720667656,88904.9348142,177.819473402,3043271.02177,978.885995216,ABxo2b.0228.fits
742952.910635,486.432799013,803558.35922,505.559311801,83331.2033269,172.868219908,3082922.94336,985.197247418,ABxo2b.0242.fits
753941.215106,489.948390742,815327.272561,509.186125216,85495.3321541,174.7929963,3071837.27033,983.434872644,ABxo2b.0254.fits
756126.554644,490.596396199,817828.53026,509.902718633,89991.5053246,178.580665372,3065813.56538,982.475835624,ABxo2b.0262.fits
