0,1,2,3,4,5,6,7,8
583266.228802,430.487869195,629585.190482,447.024742361,19424.8288726,92.6478398032,1194267.02229,614.08865536,ABxo2b.0002.fits
585832.562746,431.40995646,632582.686688,448.063539433,20419.3411058,94.3587529528,1214578.43583,619.24008017,ABxo2b.0010.fits
653386.137813,455.286274943,705940.927658,473.022799491,22150.5550643,97.1265134167,1625267.58743,715.650760598,ABxo2b.0018.fits
666121.088417,459.58209079,722733.927391,478.491617101,25043.0982289,101.30693057,1512119.8726,690.412270099,ABxo2b.0030.fits
658574.130567,456.994725085,710629.428878,474.505391673,24538.1701049,100.54528456,1415742.17765,668.153615671,ABxo2b.0042.fits
665120.983167,459.21252263,719357.509666,477.35577037,30954.5115796,110.079428872,1684626.24883,728.478378602,ABxo2b.0056.fits
632644.982233,447.926637902,688086.472889,466.910678953,23413.4572724,98.3839944537,1440874.86853,673.967956261,ABxo2b.0066.fits
540426.728589,414.381818242,591333.77229,433.196926123,24173.2104647,99.4387840595,1400677.80813,664.568277184,ABxo2b.0078.fits
635972.311945,449.00785593,696580.919227,469.678490925,25496.5284232,101.270597406,1559599.59911,700.989169205,ABxo2b.0092.fits
643080.663643,451.416812915,706631.969656,472.950984072,27128.0394481,103.448209478,1609957.38082,712.163171141,ABxo2b.0116.fits
634486.555317,448.466782594,694236.397284,468.875203554,42594.9770442,124.933510211,2264747.50578,844.049162136,ABxo2b.0136.fits
688612.540574,466.93850886,753676.608971,488.280233764,34151.7182929,113.530230071,2122061.4816,817.112385223,ABxo2b.0154.fits
666102.098998,459.272140084,728374.205504,480.045009442,41454.009189,123.038154084,2480932.85973,883.228840705,ABxo2b.0170.fits
625747.100917,445.273877023,676689.297427,462.836384939,47945.9068051,130.971722915,2246844.78214,840.673751487,ABxo2b.0182.fits
724864.987586,478.883189197,783971.315816,497.838572697,48304.1911139,131.377094147,2611337.238,906.067829338,ABxo2b.0194.fits
731905.448961,481.193433821,789731.418491,499.66065194,50431.0638272,133.944561825,2555820.80427,896.422332245,ABxo2b.0202.fits
699584.67357,470.534692391,757507.840061,489.435994045,50808.820765,134.297600939,2606915.55956,905.321637021,ABxo2b.0212.fits
690968.687496,467.635589948,746148.213267,485.767498212,63961.5068817,148.862168237,2753169.22196,930.286604094,ABxo2b.0228.fits
642969.513544,451.273914647,694069.892977,468.671461394,56527.0297113,140.838476555,2752738.34893,930.203631435,ABxo2b.0242.fits
676456.321008,462.751453965,729622.147409,480.40904475,59068.6404121,143.621434181,2713880.09349,923.634492379,ABxo2b.0254.fits
671772.792489,461.131986772,723114.276392,478.249313143,67549.5374596,152.465285024,2841305.61452,945.011996163,ABxo2b.0262.fits
